('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         789477 function calls (764990 primitive calls) in 1.951 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      410    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      409    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      406    0.000    0.000    0.000    0.000 enum.py:1151(__init__)
      391    0.000    0.000    0.000    0.000 typing.py:916(__eq__)
      390    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      390    0.001    0.000    0.001    0.000 enum.py:1525(__and__)
      360    0.000    0.000    0.000    0.000 <frozen os>:760(decode)
      360    0.000    0.000    0.001    0.000 typing.py:715(<genexpr>)
      359    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      336    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    329/1    0.005    0.000    1.951    1.951 {built-in method builtins.exec}
      326    0.001    0.000    0.088    0.000 __init__.py:272(_compile)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      318    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      313    0.000    0.000    0.088    0.000 __init__.py:225(compile)
      310    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      310    0.000    0.000    0.000    0.000 filter.py:627(_match_attribute_value_helper)
      309    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      309    0.000    0.000    0.000    0.000 enum.py:229(__set_name__)
      309    0.000    0.000    0.000    0.000 types.py:164(__init__)
      303    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
      303    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      303    0.000    0.000    0.000    0.000 _connection.py:364(receive_data)
      303    0.001    0.000    1.348    0.004 sync.py:124(read)
      303    0.000    0.000    1.346    0.004 ssl.py:1157(read)
      303    0.000    0.000    1.346    0.004 ssl.py:1288(recv)
      303    1.346    0.004    1.346    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      301    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      300    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      299    0.000    0.000    0.000    0.000 element.py:2168(get)
    297/7    0.001    0.000    0.191    0.027 <frozen importlib._bootstrap>:1165(_find_and_load)
    296/6    0.001    0.000    0.191    0.032 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      296    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      296    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      294    0.000    0.000    0.001    0.000 typing.py:1279(__init__)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      292    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      290    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      290    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      290    0.001    0.000    0.004    0.000 typing.py:1376(__init__)
      290    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      287    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      281    0.000    0.000    0.000    0.000 dataclasses.py:425(<genexpr>)
      276    0.000    0.000    0.000    0.000 _connection.py:217(our_state)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
      272    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      271    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
      271    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
      268    0.000    0.000    0.001    0.000 _connection.py:342(_respond_to_state_changes)
      268    0.000    0.000    0.000    0.000 _state.py:299(_fire_event_triggered_transitions)
    267/6    0.001    0.000    0.190    0.032 <frozen importlib._bootstrap>:666(_load_unlocked)
  267/261    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      267    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
      266    0.001    0.000    0.003    0.000 _connection.py:272(_process_event)
      266    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      266    0.000    0.000    0.000    0.000 _state.py:316(_fire_state_triggered_transitions)
      260    0.001    0.000    1.359    0.005 http11.py:209(_receive_event)
      260    0.000    0.000    0.000    0.000 _connection.py:260(_server_switch_event)
      258    0.000    0.000    0.274    0.001 _models.py:935(iter_raw)
      258    0.000    0.000    0.279    0.001 _models.py:884(iter_bytes)
      258    0.000    0.000    0.273    0.001 http11.py:196(_receive_response_body)
      258    0.000    0.000    0.273    0.001 http11.py:330(__iter__)
      258    0.000    0.000    0.273    0.001 connection_pool.py:401(__iter__)
      258    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      258    0.000    0.000    0.273    0.001 default.py:125(__iter__)
      258    0.000    0.000    0.273    0.001 _client.py:152(__iter__)
      255    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      254    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      252    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      252    0.000    0.000    0.002    0.000 typing_extensions.py:3474(_collect_parameters)
      252    0.000    0.000    0.000    0.000 typing_extensions.py:3389(_has_generic_or_protocol_as_origin)
      252    0.000    0.000    0.004    0.000 _decoders.py:95(decode)
      248    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
      248    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      248    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      248    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
  242/241    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      241    0.000    0.000    0.000    0.000 typing.py:1310(__getattr__)
  239/235    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      238    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
      238    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
    238/6    0.000    0.000    0.190    0.032 <frozen importlib._bootstrap_external>:934(exec_module)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
      238    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      238    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      238    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
      238    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      238    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      238    0.002    0.000    0.002    0.000 {built-in method io.open_code}
      225    0.000    0.000    0.001    0.000 typing.py:1591(<genexpr>)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1568(<genexpr>)
  215/175    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
  213/150    0.000    0.000    0.000    0.000 typing.py:1695(__hash__)
      212    0.000    0.000    0.001    0.000 filter.py:616(_attribute_match)
      209    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      208    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      201    0.000    0.000    0.000    0.000 typing.py:2443(get_origin)
      200    0.000    0.000    0.000    0.000 typing_extensions.py:3411(_is_unpacked_typevartuple)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      195    0.001    0.000    0.085    0.000 _compiler.py:740(compile)
      195    0.000    0.000    0.054    0.000 _parser.py:979(parse)
