('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724931 function calls (705695 primitive calls) in 7.315 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2672    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
     2781    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
      206    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     4195    0.001    0.000    0.001    0.000 _parser.py:293(tell)
       19    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
6285/6280    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      311    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
     6141    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
      412    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      305    0.001    0.000    1.720    0.006 socket.py:693(readinto)
     2800    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
      925    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     3780    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      325    0.001    0.000    0.003    0.000 css_parser.py:1085(selector_iter)
     2803    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     1077    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      134    0.001    0.000    0.001    0.000 _compiler.py:467(_get_charset_prefix)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
    260/4    0.001    0.000    0.169    0.042 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      202    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
     3349    0.001    0.000    0.004    0.000 {built-in method builtins.next}
     4722    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     2877    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      404    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
      202    0.001    0.000    0.075    0.000 _compiler.py:740(compile)
     2801    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     1385    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      906    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
    52/14    0.000    0.000    0.010    0.001 css_parser.py:905(parse_selectors)
