('Total Revenue', 'Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         724721 function calls (705537 primitive calls) in 1.943 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    206/4    0.000    0.000    0.176    0.044 <frozen importlib._bootstrap_external>:989(exec_module)
     3029    0.000    0.000    0.000    0.000 element.py:2062(descendants)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      136    0.000    0.000    0.000    0.000 css_parser.py:357(__init__)
       36    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.000    0.000 langrussianmodel.py:1(<module>)
      236    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      514    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      415    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      202    0.000    0.000    0.029    0.000 _compiler.py:573(_code)
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      315    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      311    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     2567    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1048    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      215    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
     2232    0.000    0.000    0.000    0.000 py.py:11(<genexpr>)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       40    0.000    0.000    0.301    0.008 response.py:1032(read_chunked)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      202    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      258    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
